id,weight,parentID,en_title,en_desc,es_title,es_desc
19,0,0,"Family and Safety","Abuse, restraining orders, divorce, custody, visitation, child support.",Familia,"Abuso, órdenes de restricción, divorcio, custodia, visitación, manutención de menores."
42,0,19,"I have been abused by a family member, a current partner, or a former partner.",,"Yo necesito ayuda en asegurar que yo y mis niños estemos seguros.",
43,0,19,"My issue is about a divorce or separation.",,"Mi asunto es sobre un divorcio.",
124,-1,43,"I want to get a divorce.",,"Yo quiero un divorcio.",
125,0,43,"My spouse is divorcing me.",,"Mi cónyuge se está divorciando de mí.",
123,1,43,"I need a restraining order.",,"Yo necesito una órden de restricción.",
126,6,43,"I have a different problem related to divorce, such as  separation, annulment, or alimony.",,"Yo tengo un problema distinto relacionado al divorcio.",
45,0,19,"My problem is with custody, visitation, or child support.",,"My problem is with custody, visitation, or child support.",
209,-1,45,"I want to get custody of my children.",,"Yo quiero obtener custodia de mis hijos.",
211,0,45,"I want to get visitation with my children.",,"Yo quiero obtener visitación con mis hijos.",
212,1,45,"I need help with child support.",,"I need help with child support.",
353,-1,212,"I want to change or stop my child support payment.",,"Yo quiero cambiar o parar mis pagos de manutención de menores.",
352,-1,212,"I want to get child support.",,"Yo quiero obtener manutención de menores.",
351,-1,212,"I want to increase the amount of my child support.",,"Yo quiero aumentar la cantidad de pago de manutención del niño.",
354,0,212,"The person who is supposed to be paying child support is not paying it.",,"La persona que está supuesta a pagar manutención de menores no está pagando.",
350,1,212,"I owe back child support.",,"Yo debo pagos atrasados de manutención de menores.  ",
210,2,45,"My children are in danger of being moved from the state.",,"Mis hijos están en peligro de ser removidos fuera del estado.",
41,1,19,"I have a problem with DCF or want to know more about it.",,"Yo tengo un problema con DCF o quiero saber más sobre DCF.",
75,0,41,"I want to find out more about DCF.",,"Yo quiero aprender más sobre DCF.",
74,1,41,"DCF wants to take my children away.",,"DCF quiere quitarme mis hijos.",
72,2,41,"I have a problem with my DFC case worker.",,"Yo tengo un problema con mi trabajador de DCF.",
73,3,41,"DCF is taking me to court.",,"DCF me está llevando a la corte.",
44,2,19,"I have another family issue.",,"Yo tengo otro problema de familia que envuelve niños.",
171,-1,44,"I am a grandparent and want to get custody of or visitation with my grandchildren.",,"Yo quiero obtener custodia de mis nietos.",
167,0,44,"I have questions about paternity.",,"Yo tengo preguntas sobre paternidad.",
168,0,44,"I need help with guardianship.",,"Yo necesito ayuda con tutela.",
170,1,44,"I want to know more about the Family and Medical Leave Act (FMLA).",,"Yo quiero saber más sobre la ley de Ausencia Familiar y Médica (FMLA).",
169,3,44,"I have a different family problem.",,"Yo tengo un problema de familia distinto.",
246,2,169,"I need help with adoption.",,"Yo necesito ayuda con adopción.",
245,3,169,"I need help with a name change.",,"Yo necesito ayuda con un cambio de nombre.",
247,4,169,"I need help with a birth certificate.",,"Yo necesito ayuda con un certificado de nacimiento.",
244,5,169,"I have questions about the separation or annulment of my marriage.",,"Yo tengo preguntas sobre mi separación o anulación de mi matrimonio.",
248,6,169,"I have a different family problem.",,"Yo tengo un problema distinto de familia.",
17,1,0,"Homes and Apartments","Renting, evictions, lockouts, foreclosure, home ownership issues, security deposits.",Vivienda,"Alquileres, desalojo, cierre, ejecuciones hipotecarias, temas de propiedad de la vivienda, depósitos de alquiler."
34,0,17,"I rent my house or apartment.",,"Yo rento mi casa o apartamento.",
147,0,34,"I need help with rental assistance, such as Section 8 or RAP.",,"Yo necesito ayuda con asistencia para la renta, tal como Sección 8.",
145,1,34,"I am being evicted or I was locked out.",,"Me están desalojando.  ",
275,0,145,"My landlord locked me out.",,"Mi casero me cerró fuera de mi casa.",
273,1,145,"The landlord told me in person or over the phone that they want me to move out.",,"Mi casero me dijo en persona o por teléfono que quiere que yo me mude.",
276,2,145,"I got a written notice from the landlord telling me to move out (Notice to Quit).",,"Recibí notificación escrita para mudarme (llamada un Notice to Quit/Noticia de Desalojo).",
274,3,145,"I got papers from the court setting a date and time for a court hearing.",,"Yo recibí papeles de la corte con fecha y hora para una audiencia.",
146,2,34,"I have a problem with my landlord or the place I rent.",,"Yo tengo un problema con mi casero o autoridad de vivienda.",
330,0,146,"My landlord raised my rent.",,"Mi casero me aumentó la renta.",
329,1,146,"My housing is unsafe or unhealthy (no heat, leaking roof, dangerous electrical).",,"Mi vivienda es insegura o insalubre (no hay calefacción, el techo está filtrando, condiciones peligrosas  de electricidad).",
331,2,146,"I am disabled and need a reasonable accommodation.",,"Yo soy incapacitado y necesito una acomodación razonable.",
332,3,146,"I have a problem with utilities (electric, heat, natural gas, phone).",,"Algunas o todas mis utilidades han sido desconectadas.",
144,3,34,"My landlord is in or was in foreclosure.",,"Mi casero está siendo embargado.",
143,4,34,"I have another problem with my housing.",,"Yo tengo otro problema con mi vivienda.",
33,1,17,"I own a house or want to buy one.",,"Yo soy dueño de mi propia casa o quiero comprar una.",
103,0,33,"The bank is threatening to foreclose on my home.",,"El banco está amenazando con embargar mi casa.",
234,0,103,"I am still living in my home.",,"Todavía estoy viviendo en mi casa pero tengo miedo de perderla.",
416,0,234,"I got court papers saying that the bank is foreclosing.",,"Recibí papeles de la corte diciendo que el banco está ejecutando mi hipoteca.",
417,1,234,"I got notices from the bank but not court papers.",,"Recibí notificaciones del banco pero no papeles de la corte.",
418,2,234,"The bank has not yet contacted me, but I am behind on my payments or about to fall behind.",,"El banco todavía no se ha comunicado conmigo, pero estoy atrazado en mis pagos o estoy a punto de atrazarme.",
233,1,103,"I abandoned my home because I'm worried about foreclosure or because I can't afford to live there.",,"Yo he abandonado mi casa debido a la amenaza de una ejecución hipotecaria o porque no puedo hacer los pagos.",
236,2,103,"The home is my second home, not my primary residence.",,"La casa es mi segunda casa, no mi residencia principal.",
235,3,103,"I have another problem related to foreclosure.",,"Yo tengo otro problema relacionado a una ejecutación de hipoteca.",
107,1,33,"I'm having trouble with property taxes, utilities, or condo fees.",,"Estoy teniendo problemas con mis gastos relacionados con el hogar (tales  como impuestos de propiedad, cuotas de condominio, o utilidades).",
304,0,107,"I have a problem with my property taxes.",,"Yo tengo un problema con mis impuestos de propiedad.",
383,0,304,"I don't think the amount is right.",,"Yo no creo que la cantidad es correcta.",
386,1,304,"My property taxes are due soon or past due.",,"Mis impuestos de propiedad se vencen pronto o están vencidos.",
384,2,304,"They are putting a lien on my property.",,"Ellos están poniendo un gravamen en mi propiedad. ",
385,3,304,"I need a reduction in my property tax from the town/city because I can't pay.",,"Necesito una reducción en los impuestos de propiedad de mi pueblo/ciudad porque no los puedo pagar.",
462,0,385,"I want to apply for a tax reduction (abatement).",,"Yo quiero solicitar una reducción de impuestos (abatement en inglés).",
463,1,385,"I applied for a tax abatement but was turned down or have a problem with it.",,"Yo apliqué para una reducción de impuestos (abatement en inglés) pero me lo negaron, no he recibido una respuesta, o yo tengo otro problema.",
382,4,304,"I need to lower my property taxes for another reason.",,"Necesito reducir mis impuestos de propiedad por otra razón.",
306,1,107,"I have a problem with utilities (electric, heat, natural gas, phone).",,"I have a problem with utilities (electric, heat, natural gas, phone).",
305,2,107,"I am having trouble with my condo association.",,"Yo estoy teniendo problemas con mi asociación de condominios.",
105,2,33,"I have a problem with my neighbors.",,"Yo tengo un problema con mis vecinos.",
106,3,33,"I need help buying a house or condo.",,"Necesito ayuda en comprar una casa o condominio.",
299,0,106,"I need financial help.",,"Necesito ayuda financiera.",
296,1,106,"I think a seller or lender is discriminating against me.",,"Un vendedor o prestamista está discriminando contra mí a causa de mi raza, color, religión, origen nacional, o género.",
297,2,106,"I want to know how to buy a house.",,"Yo quiero saber cómo comprar una casa.",
298,3,106,"I have another legal problem with buying a home or getting a loan.",,"Yo tengo otro problema legal con comprar una casa o consiguiendo un préstamo.",
104,4,33,"I have a different home ownership issue.",,"Yo tengo un problema diferente sobre mi propiedad. ",
284,0,104,"I live in a mobile home.",,"Yo vivo en una casa móvil.",
425,0,284,"I have a problem with the person who owns the park or the land.",,"Yo tengo un problema con el dueño del parque o con la persona quién es propietario del terreno donde yo vivo.",
429,1,284,"My lender is threatening to reposess my mobile home.",,"Mi prestamista está amenazando con quitarme mi casa móvil.",
427,2,284,"I live in a mobile home park and my landlord is shutting down the park.",,"Yo vivo en un parque de casas móviles y mi casero está cerrando el parque.",
426,3,284,"I live in a mobile home park and there are bad park conditions.",,"Yo vivo en un parque de casas móviles y las condiciones del parque son malas.",
428,4,284,"I have another legal problem related to my mobile home.",,"Yo tengo otro problema legal relacionado con mi casa móvil.",
283,1,104,"I am having trouble with a tenant.",,"Yo estoy teniendo problemas con un inquilino.",
409,0,283,"I want to evict a tenant.",,"Yo quiero desalojar a un inquilino.",
407,1,283,"My tenant has damaged my property.",,"Mi inquilino ha dañado mi propiedad.",
408,2,283,"My tenant wants special accommodations.",,"Mi inquilino quiere acomodaciones especiales.",
282,2,104,"I have different problem with my housing.",,"Yo tengo otro problema diferente con mi vivienda. ",
35,2,17,"I live somewhere else or I am homeless.",,"Yo vivo en otro sitio o no tengo vivienda.",
166,0,35,"I live in long-term care and I am having problems with it.",,"Yo vivo en una facilidad de cuidado a largo plazo y tengo un problema relacionado a eso.",
165,1,35,"I live in a mobile home park.",,"Yo vivo en un parque de casas móviles.  ",
